Transaction Date,Post Date,Description,Category,Type,Amount
06/13/2019,06/16/2019,EXXONMOBIL    47908124,Gas,Sale,-21.27
06/13/2019,06/16/2019,CAFE MOZART BAKERY,Food & Drink,Sale,-15.12
06/14/2019,06/16/2019,AMZN Mktp US*M67BK3G90,Shopping,Sale,-49.79
06/15/2019,06/16/2019,A NO 1 AIR INC,Home,Sale,-12.00
06/13/2019,06/16/2019,STARBUCKS STORE 6307,Food & Drink,Sale,-2.11
06/14/2019,06/14/2019,Amazon.com*M68LY1PQ0,Shopping,Sale,-15.14
06/13/2019,06/14/2019,WM SUPERCENTER #1216,Groceries,Sale,-78.35
06/12/2019,06/14/2019,CAFE MOZART BAKERY,Food & Drink,Sale,-7.56
06/13/2019,06/14/2019,AMZN Mktp US*M627968J1,Shopping,Sale,-88.00
06/12/2019,06/13/2019,TUSCAN CLEANERS,Personal,Sale,-13.70
06/12/2019,06/13/2019,AMZN Mktp US*M62EM70A0,Shopping,Sale,-112.79
06/12/2019,06/13/2019,H MART CARROLTON,Groceries,Sale,-71.47
06/11/2019,06/12/2019,KROGER 0448,Groceries,Sale,-22.40
06/10/2019,06/11/2019,AMZN Mktp US*M66UN11C2,Shopping,Sale,-16.23
06/10/2019,06/11/2019,AMZN Mktp US*M60456042,Shopping,Sale,-34.98
06/10/2019,06/11/2019,KROGER 0448,Groceries,Sale,-88.50
06/11/2019,06/11/2019,Payment Thank You - Bill,,Payment,2037.27
06/09/2019,06/10/2019,AMZN Mktp US*M61NK80D2,Shopping,Sale,-20.99
06/06/2019,06/09/2019,SMOOTHIE KING - 1455 - IR,Food & Drink,Sale,-5.32
06/06/2019,06/09/2019,SMOOTHIE KING - 1455 - IR,Food & Drink,Sale,-5.32
06/06/2019,06/07/2019,WM SUPERCENTER #1216,Groceries,Sale,-66.73
06/04/2019,06/07/2019,EXXONMOBIL    47908124,Gas,Sale,-21.70
06/06/2019,06/07/2019,WHOLEFDS LCL #10627,Groceries,Sale,-13.74
06/04/2019,06/05/2019,KROGER 0448,Groceries,Sale,-8.65
06/04/2019,06/05/2019,KROGER 0448,Groceries,Sale,-25.28
06/03/2019,06/04/2019,KROGER 0448,Groceries,Sale,-52.26
06/03/2019,06/04/2019,EURO DELI,Groceries,Sale,-54.30
06/01/2019,06/03/2019,TARGET        00010322,Shopping,Sale,-24.22
06/01/2019,06/03/2019,STARBUCKS STORE 8680,Food & Drink,Sale,-2.65
06/01/2019,06/03/2019,STARBUCKS STORE 8680,Food & Drink,Sale,-2.54
05/30/2019,06/02/2019,SMOOTHIE KING - 1455 - IR,Food & Drink,Sale,-11.02
05/31/2019,06/02/2019,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-21.64
05/31/2019,06/02/2019,NEW YORK PIZZA PASTA,Food & Drink,Sale,-10.65
05/30/2019,05/31/2019,CHEVRON 0210271,Gas,Sale,-11.03
05/29/2019,05/30/2019,NETWORK FOR GOOD,Gifts & Donations,Sale,-61.80
05/29/2019,05/30/2019,WAL-MART #2649,Groceries,Sale,-159.68
05/28/2019,05/29/2019,AMZN Mktp US*MN3XO3YO1,Shopping,Sale,-27.99
05/28/2019,05/28/2019,AMZN Mktp US*MN4YW4RR1,Shopping,Sale,-18.97
05/27/2019,05/28/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
05/27/2019,05/27/2019,Kindle Unltd*MN7H88I11,Shopping,Sale,-10.81
05/24/2019,05/26/2019,WM SUPERCENTER #1216,Groceries,Sale,-10.54
05/24/2019,05/26/2019,KROGER 0448,Groceries,Sale,-19.91
05/24/2019,05/26/2019,WAL-MART #2649,Groceries,Sale,-24.16
05/24/2019,05/26/2019,WAL-MART #1216,Groceries,Sale,-90.95
05/24/2019,05/26/2019,EURO DELI,Groceries,Sale,-135.78
05/24/2019,05/26/2019,CIGAR WORLD INC,Shopping,Sale,-73.69
05/22/2019,05/24/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
05/23/2019,05/24/2019,LESLIES POOLMART,Shopping,Sale,-135.30
05/22/2019,05/23/2019,TST* PARKS ROASTERY,Food & Drink,Sale,-3.73
05/22/2019,05/23/2019,EDUCATIONAL PRODUCTS,Shopping,Sale,-90.00
05/22/2019,05/23/2019,WM SUPERCENTER #1216,Groceries,Sale,-32.07
05/21/2019,05/22/2019,PAYPAL *LIFETOUCHNS,Shopping,Sale,-43.30
05/19/2019,05/21/2019,HYATT REG NEWPORT F&amp;B,Food & Drink,Sale,-65.11
05/20/2019,05/21/2019,KROGER 0448,Groceries,Sale,-91.64
05/19/2019,05/21/2019,HYATT REG NEWPORT F&amp;B,Food & Drink,Sale,-6.39
05/18/2019,05/20/2019,THE LOT,Entertainment,Sale,-7.46
05/18/2019,05/20/2019,HYATT REG NEWPORT F&amp;B,Food & Drink,Sale,-6.73
05/18/2019,05/20/2019,THE LOT,Entertainment,Sale,-81.00
05/15/2019,05/19/2019,EXXONMOBIL    47908124,Gas,Sale,-26.62
05/16/2019,05/19/2019,FRESHENS #26,Food & Drink,Sale,-16.06
05/18/2019,05/19/2019,SMART AND FINAL 927,Groceries,Sale,-51.98
05/17/2019,05/19/2019,MARRIOTT ANAHEIM F&amp;B,Travel,Sale,-4.56
